issue_rank,issue_label,total_count,article_rank,title,press,pub_date,link
2,박근혜 “단식 멈춰달라”…장동혁 “그렇게 하겠다”,60,1,박근혜 “단식 멈춰달라”…장동혁 “그렇게 하겠다”,한겨레,2026-01-22 11:42,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=028&aid=0002787755&rankingType=RANKING
2,박근혜 “단식 멈춰달라”…장동혁 “그렇게 하겠다”,60,2,"단식 7일째' 장동혁 ""여기에 묻힐 것""…국힘은 긴급후송 검토(종합)",연합뉴스,2026-01-21 11:50,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015858678&rankingType=RANKING
2,박근혜 “단식 멈춰달라”…장동혁 “그렇게 하겠다”,60,3,"2차 종합특검법, 與 주도로 국회 통과...최장 170일 간 수사 ‘매머드급 특검’",조선일보,2026-01-16 16:20,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=023&aid=0003953475&rankingType=RANKING
2,박근혜 “단식 멈춰달라”…장동혁 “그렇게 하겠다”,60,4,"장동혁, 국회서 '쌍특검 단식' 사흘째…""아침에는 말도 잘 못해""",연합뉴스,2026-01-17 12:43,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015852522&rankingType=RANKING
2,박근혜 “단식 멈춰달라”…장동혁 “그렇게 하겠다”,60,5,2차 종합특검 251명·최장 170일…6·3지방선거 때까지 ‘특검 정국’,한겨레,2026-01-16 18:26,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=028&aid=0002786911&rankingType=RANKING
2,박근혜 “단식 멈춰달라”…장동혁 “그렇게 하겠다”,60,6,"장동혁, '쌍특검 단식' 나흘째…""자유·법치 끝까지 지켜낼 것""",연합뉴스,2026-01-18 11:14,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015853044&rankingType=RANKING
2,박근혜 “단식 멈춰달라”…장동혁 “그렇게 하겠다”,60,7,"단식' 장동혁 ""목숨도 각오""…친한계 ""굶어죽어 얻을 것 없다""(종합)",연합뉴스,2026-01-17 16:01,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015852624&rankingType=RANKING
2,박근혜 “단식 멈춰달라”…장동혁 “그렇게 하겠다”,60,8,靑 신임 정무수석 홍익표…6·3 지선 앞 떠나는 우상호 후임,동아일보,2026-01-18 14:13,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=020&aid=0003690175&rankingType=RANKING
2,박근혜 “단식 멈춰달라”…장동혁 “그렇게 하겠다”,60,9,청와대 새 정무수석에 홍익표…우상호는 강원지사 출마 뜻,한겨레,2026-01-18 14:08,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=028&aid=0002787014&rankingType=RANKING
2,박근혜 “단식 멈춰달라”…장동혁 “그렇게 하겠다”,60,10,종합특검법 국무회의 통과…최대 251명 투입해 최장 170일 수사,연합뉴스,2026-01-20 12:56,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015856582&rankingType=RANKING
3,대선 후보로 추대한 한덕수 23년형에도…국힘 우재준 “우리당은 당당”,39,1,"국힘 ‘한동훈 제명’ 후폭풍···신동욱 “당게 사태, 공개 검증하자”",경향신문,2026-01-17 10:31,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422092&rankingType=RANKING
3,대선 후보로 추대한 한덕수 23년형에도…국힘 우재준 “우리당은 당당”,39,2,한동훈 “당원께 걱정 끼쳐 송구” 사과,조선일보,2026-01-19 0:54,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=023&aid=0003953802&rankingType=RANKING
3,대선 후보로 추대한 한덕수 23년형에도…국힘 우재준 “우리당은 당당”,39,3,한동훈 ‘당게시판’ 공식 사과... 징계엔 “정치보복” 강경,조선일보,2026-01-18 11:38,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=023&aid=0003953680&rankingType=RANKING
3,대선 후보로 추대한 한덕수 23년형에도…국힘 우재준 “우리당은 당당”,39,4,"한동훈, ‘당원게시판 논란’ 관련 “징계는 조작·보복이지만 당원들께 송구한 마음”",경향신문,2026-01-18 11:56,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422174&rankingType=RANKING
3,대선 후보로 추대한 한덕수 23년형에도…국힘 우재준 “우리당은 당당”,39,5,한동훈 ‘당게’ 사과하면서도 “조작”…친윤 “금쪽이 투정”,한겨레,2026-01-18 12:52,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=028&aid=0002787006&rankingType=RANKING
3,대선 후보로 추대한 한덕수 23년형에도…국힘 우재준 “우리당은 당당”,39,6,"한동훈, 당게 언급없이 “송구, 징계는 정치보복”…계파간 갈등 여전",동아일보,2026-01-18 20:32,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=020&aid=0003690225&rankingType=RANKING
3,대선 후보로 추대한 한덕수 23년형에도…국힘 우재준 “우리당은 당당”,39,7,신동욱 “3년째 ‘한동훈 당게 논란’…최고위가 공개 검증해 끝내자”,한겨레,2026-01-17 14:34,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=028&aid=0002786964&rankingType=RANKING
3,대선 후보로 추대한 한덕수 23년형에도…국힘 우재준 “우리당은 당당”,39,8,한동훈 ‘당게’ 논란에 “송구하다”면서도 “조작이자 정치 보복”,동아일보,2026-01-18 11:58,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=020&aid=0003690163&rankingType=RANKING
3,대선 후보로 추대한 한덕수 23년형에도…국힘 우재준 “우리당은 당당”,39,9,"신동욱 “당게 논란, 최고위 검증” 재차 요구... 양향자 “갈등 끝내자”",조선일보,2026-01-19 10:11,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=023&aid=0003953837&rankingType=RANKING
3,대선 후보로 추대한 한덕수 23년형에도…국힘 우재준 “우리당은 당당”,39,10,“사과하고 풀자” 당내 중재에도 말 없는 한동훈,조선일보,2026-01-17 0:58,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=023&aid=0003953606&rankingType=RANKING
4,"캄보디아 한국인 스캠 조직원 73명 강제송환…""역대 최대 규모""",26,1,"李대통령 “민간 무인기 北 침투, 있을수 없는일...국가기관 연관설도 있어”",조선일보,2026-01-20 10:34,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=023&aid=0003954060&rankingType=RANKING
4,"캄보디아 한국인 스캠 조직원 73명 강제송환…""역대 최대 규모""",26,2,[단독]용산 근무 보수청년단체 회장 “대북 무인기 내가 날렸다”,동아일보,2026-01-16 21:28,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=020&aid=0003690059&rankingType=RANKING
4,"캄보디아 한국인 스캠 조직원 73명 강제송환…""역대 최대 규모""",26,3,"李대통령 “제멋대로 무인기 침투, 北에 총 쏜 것과 똑같다”",동아일보,2026-01-20 10:53,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=020&aid=0003690758&rankingType=RANKING
4,"캄보디아 한국인 스캠 조직원 73명 강제송환…""역대 최대 규모""",26,4,"[속보]이 대통령 “무인기 침투, 개인이 멋대로 전쟁 개시 행위한 것과 같아···철저 수사”",경향신문,2026-01-20 10:29,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422594&rankingType=RANKING
